Monthly Precipitation - (MM), Year, Model, Statistics, Country, ISO3
-9.468472, 2020-2039, miroc_esm_chem, Oct Anomaly, Bulgaria, BGR
-12.640975, 2020-2039, miroc_esm_chem, Nov Anomaly, Bulgaria, BGR
15.254829, 2020-2039, miroc_esm_chem, Dec Anomaly, Bulgaria, BGR
-12.970145, 2020-2039, miroc5, Jan Anomaly, Bulgaria, BGR
4.642204, 2020-2039, miroc5, Feb Anomaly, Bulgaria, BGR
5.5792613, 2020-2039, miroc5, Mar Anomaly, Bulgaria, BGR
8.238246, 2020-2039, miroc5, Apr Anomaly, Bulgaria, BGR
0.78875935, 2020-2039, miroc5, May Anomaly, Bulgaria, BGR
-5.605392, 2020-2039, miroc5, Jun Anomaly, Bulgaria, BGR
-1.4129528, 2020-2039, miroc5, Jul Anomaly, Bulgaria, BGR
-4.395396, 2020-2039, miroc5, Aug Anomaly, Bulgaria, BGR
1.602232, 2020-2039, miroc5, Sep Anomaly, Bulgaria, BGR
20.221096, 2020-2039, miroc5, Oct Anomaly, Bulgaria, BGR
6.055794, 2020-2039, miroc5, Nov Anomaly, Bulgaria, BGR
22.144154, 2020-2039, miroc5, Dec Anomaly, Bulgaria, BGR
11.97372, 2020-2039, mri_cgcm3, Jan Anomaly, Bulgaria, BGR
-3.124191, 2020-2039, mri_cgcm3, Feb Anomaly, Bulgaria, BGR
4.134968, 2020-2039, mri_cgcm3, Mar Anomaly, Bulgaria, BGR
-13.152054, 2020-2039, mri_cgcm3, Apr Anomaly, Bulgaria, BGR
3.8329885, 2020-2039, mri_cgcm3, May Anomaly, Bulgaria, BGR
0.69909215, 2020-2039, mri_cgcm3, Jun Anomaly, Bulgaria, BGR
-17.1081, 2020-2039, mri_cgcm3, Jul Anomaly, Bulgaria, BGR
-11.771308, 2020-2039, mri_cgcm3, Aug Anomaly, Bulgaria, BGR
18.60567, 2020-2039, mri_cgcm3, Sep Anomaly, Bulgaria, BGR
3.929356, 2020-2039, mri_cgcm3, Oct Anomaly, Bulgaria, BGR
